"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"APPF","AppFolio, Inc.","Technology","Software - Application","USA",4664.21,31.05,136.58,1.94%,150500
2,"ARE","Alexandria Real Estate Equities, Inc.","Real Estate","REIT - Office","USA",26388.67,30.98,178.35,0.20%,423606
3,"AVB","AvalonBay Communities, Inc.","Real Estate","REIT - Residential","USA",28460.66,35.76,204.40,0.49%,796961
4,"BDN","Brandywine Realty Trust","Real Estate","REIT - Office","USA",2368.14,7.82,13.90,-1.70%,1892658
5,"BIO","Bio-Rad Laboratories, Inc.","Healthcare","Medical Devices","USA",17716.75,4.36,592.93,-0.02%,146825
6,"CNNE","Cannae Holdings, Inc.","Consumer Cyclical","Restaurants","USA",3256.56,3.34,35.29,-3.63%,713875
7,"CTO","CTO Realty Growth, Inc.","Real Estate","Real Estate - Development","USA",305.84,20.53,52.28,-2.73%,51718
8,"CWST","Casella Waste Systems, Inc.","Industrials","Waste Management","USA",3508.01,35.92,67.67,-1.18%,231325
9,"ERII","Energy Recovery, Inc.","Industrials","Pollution & Treatment Controls","USA",1007.58,31.36,17.97,-0.94%,216791
10,"FR","First Industrial Realty Trust, Inc.","Real Estate","REIT - Industrial","USA",6562.38,30.04,50.71,-0.96%,1088620
11,"FSP","Franklin Street Properties Corp.","Real Estate","REIT - Office","USA",539.95,19.88,5.05,-2.13%,312985
12,"FTI","TechnipFMC plc","Energy","Oil & Gas Equipment & Services","United Kingdom",3601.36,9.10,8.04,-0.86%,3513560
13,"HLG","Hailiang Education Group Inc.","Consumer Defensive","Education & Training Services","China",1166.59,17.25,45.25,0.56%,3080
14,"KRC","Kilroy Realty Corporation","Real Estate","REIT - Office","USA",8038.10,12.70,70.00,-1.39%,1380339
15,"KTOS","Kratos Defense & Security Solutions, Inc.","Industrials","Aerospace & Defense","USA",3057.80,38.11,24.62,0.61%,790646
16,"LXP","Lexington Realty Trust","Real Estate","REIT - Diversified","USA",3597.17,16.94,12.20,0.49%,4463360
17,"MAX","MediaAlpha, Inc.","Communication Services","Internet Content & Information","USA",2353.49,3.46,39.14,3.52%,166386
18,"NAPA","The Duckhorn Portfolio, Inc.","Consumer Defensive","Beverages - Wineries & Distilleries","USA",2139.77,0.05,18.67,-0.37%,229079
19,"OPK","OPKO Health, Inc.","Healthcare","Diagnostics & Research","USA",2466.14,19.26,3.64,-3.19%,4523018
20,"PDM","Piedmont Office Realty Trust, Inc.","Real Estate","REIT - Office","USA",2261.10,9.91,18.31,-1.93%,856367
21,"PSB","PS Business Parks, Inc.","Real Estate","REIT - Diversified","USA",4236.80,38.35,154.29,-2.11%,100185
22,"SATS","EchoStar Corporation","Technology","Communication Equipment","USA",2353.33,26.00,25.48,-0.59%,543536
23,"SMTS","Sierra Metals Inc.","Basic Materials","Other Industrial Metals & Mining","Canada",553.56,24.29,3.40,-0.58%,258172
24,"STAG","STAG Industrial, Inc.","Real Estate","REIT - Industrial","USA",5710.41,34.66,35.67,-0.45%,874648
25,"TGS","Transportadora de Gas del Sur S.A.","Energy","Oil & Gas Midstream","Argentina",583.18,26.98,4.37,-3.74%,141588
26,"TRI","Thomson Reuters Corporation","Industrials","Consulting Services","Canada",47650.86,8.01,96.70,1.29%,692052
27,"TTCF","Tattooed Chef, Inc.","Consumer Defensive","Packaged Foods","USA",1703.08,34.44,21.49,5.14%,1897767
28,"TV","Grupo Televisa, S.A.B.","Communication Services","Broadcasting","Mexico",7111.08,17.66,12.59,-1.02%,1036553
29,"UE","Urban Edge Properties","Real Estate","REIT - Diversified","USA",2209.37,34.22,18.89,-0.37%,418409
30,"WTM","White Mountains Insurance Group, Ltd.","Financial","Insurance - Property & Casualty","Bermuda",3648.78,5.03,1184.67,-2.09%,13798
